type,prix,prix_m2,surface,nb_pieces,localisation,details
Appartement,295 000 €,9 413 €/m²,"31,34 m²",2 pièces,Paris 20ème (75),"EXPERTIMO -24h 1/11 295 000 € 9 413 €/m² À partir de 1 314 €/mois Appartement 2 pièces 31,34 m² 1 chambre Paris 20ème (75) Contacter Description"
Appartement,569 000 €,11 380 €/m²,50 m²,2 pièces,Paris 15ème (75),CONSULTANTS IMMOBILIER -24h 1/10 569 000 € 11 380 €/m² À partir de 2 535 €/mois Appartement 2 pièces 50 m² 1 chambre Paris 15ème (75) Contacter Description
Appartement,1 730 000 €,17 413 €/m²,"99,35 m²",4 pièces,Paris 7ème (75),"DANIEL FEAU SAINT-DOMINIQUE -24h 1/18 1 730 000 € 17 413 €/m² À partir de 7 707 €/mois Appartement 4 pièces 99,35 m² 2 chambres Paris 7ème (75) Voir sur Proprié…"
Appartement neuf,314 900 €,9 143 €/m²,"34,44 m²",1 pièces,Paris 17ème (75),"NEXITY 1/3 314 900 € 9 143 €/m² À partir de 1 402 €/mois Appartement neuf 1 pièce 34,44 m² Paris 17ème (75) Voir sur Figaro Immoneuf Contacter Description"
Appartement,1 520 000 €,11 158 €/m²,"136,23 m²",5 pièces,Paris 16ème (75),"DANIEL FEAU AUTEUIL 3D 1 | 1/25 1 520 000 € 11 158 €/m² À partir de 6 772 €/mois Appartement 5 pièces 136,23 m² 3 chambres Paris 16ème (75) Voir sur Propriétés …"
Appartement,260 000 €,9 184 €/m²,"28,31 m²",2 pièces,Paris 13ème (75),"DELANGE GOBELINS Exclusivité 1/13 260 000 € 9 184 €/m² À partir de 1 158 €/mois Appartement 2 pièces 28,31 m² 1 chambre Paris 13ème (75) ... Contacter Descripti…"
Locaux professionnels,699 000 €,9 320 €/m²,75 m²,non disponible,Paris 11ème (75),Laforêt Bastille -24h 1/8 699 000 € 9 320 €/m² À partir de 3 114 €/mois Locaux professionnels 75 m² Paris 11ème (75) Contacter Description
Appartement,1 150 000 €,8 805 €/m²,"130,61 m²",5 pièces,Paris 14ème (75),"LAFORÊT - E2F IMMO Exclusivité 3D -24h 1 | 1/14 1 150 000 € 8 805 €/m² À partir de 5 123 €/mois Appartement 5 pièces 130,61 m² 4 chambres Paris 14ème (75) Conta…"
Appartement,500 000 €,12 063 €/m²,"41,45 m²",2 pièces,Paris 10ème (75),"LAFORÊT - E2F IMMO Exclusivité 3D -24h 1 | 1/7 500 000 € 12 063 €/m² À partir de 2 227 €/mois Appartement 2 pièces 41,45 m² 1 chambre Paris 10ème (75) Contacter…"
Appartement,480 000 €,11 773 €/m²,"40,77 m²",2 pièces,Paris 4ème (75),"CASAVO MANAGEMENT FRANCE Exclusivité 3D 1 | 1/13 480 000 € 11 773 €/m² À partir de 2 138 €/mois Appartement 2 pièces 40,77 m² 1 chambre Paris 4ème (75) Contacte…"
Appartement,330 000 €,15 000 €/m²,22 m²,1 pièces,Paris 3ème (75),LES ENFANTS ROUGES SAINT MARTIN -24h 1/12 330 000 € 15 000 €/m² À partir de 1 470 €/mois Appartement 1 pièce 22 m² Paris 3ème (75) ... Contacter Description
Appartement,83 500 €,13 917 €/m²,6 m²,1 pièces,Paris 1er (75),LES ENFANTS ROUGES SAINT MARTIN Exclusivité -24h 1/7 83 500 € 13 917 €/m² À partir de 372 €/mois Appartement 1 pièce 6 m² 1 chambre Paris 1er (75) ... Contacter…
Appartement,450 000 €,8 111 €/m²,"55,48 m²",2 pièces,Paris 10ème (75),"CASAVO MANAGEMENT FRANCE Exclusivité 3D 1 | 1/17 Meilleur rendement locatif 450 000 € 8 111 €/m² À partir de 2 004 €/mois Appartement 2 pièces 55,48 m² 1 chambr…"
