type,prix,surface,nb_pieces,localisation,details
Appartement,750 000 €,68 m²,2 pièces,Paris 15 (75015),Terrasse • Ascenseur • Sous-sol • 1 cave
Appartement,174 000 €,19 m²,1 pièces,Paris 18 (75018),1 salle d'eau
Appartement,337 000 €,35 m²,2 pièces,Paris 18 (75018),1 cave • 1 salle d'eau
Appartement,210 000 €,23 m²,1 pièces,Paris 18 (75018),1 salle d'eau
Appartement,549 000 €,41 m²,2 pièces,Paris 02 (75002),Ascenseur • 1 cave • 1 salle d'eau
Appartement,260 000 €,21 m²,1 pièces,Paris 07 (75007),1 salle d'eau
Appartement,828 000 €,75 m²,3 pièces,Paris 11 (75011),Terrasse • Accès handicapé • Ascenseur • Sous-sol
Appartement,1 299 000 €,126 m²,3 pièces,Paris 08 (75008),1 cave • 2 salles d'eau
Appartement,280 000 €,31 m²,2 pièces,Paris 17 (75017),1 salle d'eau
Appartement,699 000 €,64 m²,3 pièces,Paris 16 (75016),1 cave • 1 salle d'eau
Appartement,690 000 €,84 m²,3 pièces,Paris 15 (75015),
Appartement,99 500 €,11 m²,1 pièces,Paris 18 (75018),1 salle d'eau
Appartement,190 000 €,23 m²,2 pièces,Paris 18 (75018),
Appartement,477 000 €,51 m²,2 pièces,Paris 20 (75020),Ascenseur • 1 cave • Balcon
Appartement,99 000 €,8 m²,1 pièces,Paris 12 (75012),1 salle d'eau
Appartement,530 000 €,61 m²,3 pièces,Paris 10 (75010),
Appartement,649 000 €,57 m²,2 pièces,Paris 02 (75002),1 cave • 1 salle de bain
Appartement,680 000 €,79 m²,4 pièces,Paris 10 (75010),Ascenseur • 1 cave • Balcon
Appartement,169 000 €,19 m²,1 pièces,Paris 10 (75010),
Appartement,599 000 €,55 m²,3 pièces,Paris 04 (75004),Ascenseur • 1 salle de bain
Appartement,599 000 €,55 m²,2 pièces,Paris 04 (75004),Ascenseur • 1 salle de bain
Appartement,1 045 000 €,77 m²,3 pièces,Paris 08 (75008),Cheminée • Ascenseur • 1 cave • 1 salle de bain
Appartement,323 000 €,37 m²,1 pièces,Paris 20 (75020),Accès handicapé • Ascenseur • 1 cave • 1 salle de bain
Appartement,367 000 €,34 m²,2 pièces,Paris 09 (75009),1 salle d'eau
Appartement,162 000 €,16 m²,1 pièces,Paris 11 (75011),1 salle d'eau
Appartement,447 000 €,44 m²,2 pièces,Paris 16 (75016),Ascenseur • 1 salle d'eau
Appartement,439 000 €,26 m²,1 pièces,Paris 01 (75001),Sous-sol • 1 cave • 1 salle d'eau
Appartement,271 000 €,24 m²,2 pièces,Paris 15 (75015),1 salle d'eau
Appartement,257 250 €,23 m²,1 pièces,Paris (75017),1 salle d'eau
Appartement,666 000 €,64 m²,3 pièces,Paris 15 (75015),Ascenseur • Sous-sol • 1 cave • 1 salle de bain
Appartement,450 000 €,39 m²,2 pièces,Paris 08 (75008),1 salle de bain
Appartement,562 000 €,54 m²,2 pièces,Paris 15 (75015),Terrasse • Accès handicapé • Ascenseur • Sous-sol
Appartement,819 000 €,86 m²,4 pièces,Paris 15 (75015),Ascenseur • Sous-sol • 1 cave • Balcon
Appartement,250 000 €,34 m²,3 pièces,Paris 18 (75018),Ascenseur • 1 cave • 1 salle d'eau
Appartement,670 000 €,79 m²,3 pièces,Paris 12 (75012),Ascenseur • 1 cave • 1 salle de bain • Balcon
Appartement,650 000 €,63 m²,2 pièces,Paris 16 (75016),Ascenseur • 1 cave • 1 salle d'eau
Appartement,295 000 €,42 m²,2 pièces,Paris 19 (75019),1 cave • 1 salle d'eau
Appartement,250 000 €,19 m²,2 pièces,Paris 11 (75011),
Appartement,83 000 €,7 m²,1 pièces,Paris 09 (75009),
Appartement,2 100 000 €,144 m²,7 pièces,Paris 08 (75008),Cheminée • Ascenseur • 1 cave • 1 salle de bain
Appartement,2 014 000 €,132 m²,4 pièces,Paris 14 (75014),
Appartement,237 000 €,22 m²,1 pièces,Paris 15 (75015),Sous-sol • 1 cave • 1 salle d'eau
Appartement,800 000 €,68 m²,3 pièces,Paris 17 (75017),1 cave • 1 salle de bain
Appartement,730 000 €,51 m²,2 pièces,Paris 02 (75002),Cheminée • 1 salle d'eau
Appartement,349 000 €,35 m²,2 pièces,Paris 20 (75020),1 cave • 1 salle d'eau
Appartement,460 000 €,45 m²,2 pièces,Paris 05 (75005),1 cave • 1 salle d'eau
Appartement,336 000 €,32 m²,1 pièces,Paris 17 (75017),Ascenseur • 1 cave • 1 salle de bain
Appartement,1 469 000 €,103 m²,4 pièces,Paris 02 (75002),2 caves • 1 salle de bain • 1 salle d'eau
Appartement,398 000 €,56 m²,2 pièces,Paris 12 (75012),Ascenseur • 1 salle d'eau
Appartement,188 000 €,28 m²,1 pièces,Paris 18 (75018),Accès handicapé • Ascenseur • 1 cave • 1 salle de bain
Appartement,685 000 €,68 m²,3 pièces,Paris 09 (75009),1 cave • 1 salle d'eau
Appartement,420 000 €,37 m²,2 pièces,Paris 09 (75009),Ascenseur • 1 salle de bain
Appartement,960 000 €,81 m²,4 pièces,Paris 11 (75011),1 cave • 1 salle de bain • 1 salle d'eau
Appartement,950 000 €,70 m²,3 pièces,Paris 07 (75007),1 salle de bain
Appartement,310 000 €,21 m²,1 pièces,Paris 04 (75004),1 cave • 1 salle d'eau
Appartement,685 000 €,68 m²,3 pièces,Paris 09 (75009),1 cave • 1 salle d'eau
Appartement,982 000 €,94 m²,4 pièces,Paris 17 (75017),Ascenseur • 1 cave • 1 salle de bain
Appartement,800 000 €,68 m²,4 pièces,Paris 17 (75017),1 cave • 1 salle de bain
Appartement,559 500 €,42 m²,2 pièces,Paris (75004),1 cave • 1 salle d'eau
